   CITY                       ,   LAT,    LON,25-Aug,26-Aug,27-Aug,28-Aug,29-Aug,30-Aug,31-Aug,1-Sep,Totals,Sum,IsSum_Total_Same?
Kendalia 5.2 SSW,29.895847,98.538197,0.29,0.12,1,0.47,0.01,0,0,0,1.89,1.89,1
Kendalia 5.4 S,29.888825,98.522842,0.06,0.47,1.1,0.48,0,0,0,0,2.11,2.11,1
Kenedy,28.82,97.85,,,,,,,,,5.03,0,0
Kennedale 0.6 SE,32.6414337158203,97.2107543945313,0.03,0,0.17,0.37,0,0,0,0,0.57,0.57,1
Kerens 3.4 NW,32.16288,96.26843,0,0.18,0.08,0.21,0.01,0,0,0,0.48,0.48,1
Kerr Wildlife Management 12 NW,30.18,-99.63,,,,,,,,,0.12,0,0
KERRVILLE                     ,29.98,-99.09,,0.12,0.15,0.14,,,,,0.41,0.41,1
KERRVILLE                8 N,30.16,-99.14,,,0.32,,,,,,0.32,0.32,1
Kerrville 0.9 N,30.055422,99.135155,0,0.31,0.43,0.22,0.01,0,0,0,0.97,0.97,1
Kerrville 1.1 SSW,30.026073,99.140974,0.08,0.29,0.34,0.27,0,0,0,0,0.98,0.98,1
Kerrville 1.6 NW,30.0599166666667,99.1531833333333,0,0.37,0.3,0.23,0,0,0,0,0.9,0.9,1
Kerrville 1.6 SSE,30.020153,99.128995,0.16,0.3,0.34,0.38,0.01,0,0,0,1.19,1.19,1
Kerrville 1.7 ENE,30.055388,99.112386,,0.29,0.45,0.38,,,,,1.12,1.12,1
Kerrville 1.9 NE,30.05951,99.11128,0,0.36,0.4,,0.01,0,0,0,0.77,0.77,1
Kerrville 11.0 SW,29.916,99.2476,0,0.38,0.18,,,,,,0.56,0.56,1
Kerrville 2.2 S,30.0106678,99.140274,0.34,0.41,0.55,0.48,0,0,0,0,1.78,1.78,1
Kerrville 2.4 NNW,30.071759,99.158228,0,0.12,0.35,0.25,,0,0,0,0.72,0.72,1
Kerrville 2.6 SSW,30.0065,99.152,0.5,0.39,0.33,0.35,0,,,,1.57,1.57,1
Kerrville 4.7 SSE,29.98178,99.09877,,0.1,0.65,,,,,,0.75,0.75,1
Kerrville 4.8 WSW,30.0134963989258,99.2097625732422,0,0.31,0.25,0.27,0,0,,0,0.83,0.83,1
Kerrville 4.9 WNW,30.0694794952869,99.2125155776739,,,0.44,,,,,,0.44,0.44,1
Kerrville 5.7 SSW,29.979441,99.191372,0,0.29,0.29,0.21,0,0,0,0,0.79,0.79,1
Kerrville 6.3 SW,29.97063333,99.20108333,0,0.28,0.16,0.25,0,0,0,0,0.69,0.69,1
Kerrville 6.8 N,30.139155,99.157514,0,0.13,0.38,0.41,0,0,0,0,0.92,0.92,1
Kerrville State Park 2 S,29.97,-99.13,,,,,,,,,1.44,0,0
Kerrville State Park 3 S,29.95,-99.13,,,,,,,,,0.62,0,0
Kidd Road @ Ditch 406-B,29.99444,-94.23889,0.32,3.26,6.66,6.77,20.63,3.66,0,,41.3,41.30,1
Killeen 2.9 SSW,31.058145,97.732556,0,0,1.19,0.84,0,0,0,0,2.03,2.03,1
KINGSBURY                     ,29.69,-97.76,,2.11,6.8,2.42,,,,,11.33,11.33,1
Kingsbury 0.5 S,29.640271,97.827258,0.27,1.69,7.29,2.23,0.01,0,0,0,11.49,11.49,1
Kingsbury 1.9 NW,29.6667,97.8505,0.02,1.72,7.76,2.33,0.03,0,0,,11.86,11.86,1
KINGSLAND                     ,30.63,-98.53,0,0.12,0.54,0.09,0,,,,0.75,0.75,1
KINGSLAND                     ,30.64,-98.34,0,0.01,0.52,0.25,0,,,,0.78,0.78,1
KINGSLAND                     ,30.66,-98.43,0,0,0.43,0.11,0,,,,0.54,0.54,1
KINGSLAND                     ,30.59,-98.58,0,0.07,1.08,0.11,0,,,,1.26,1.26,1
KINGSLAND                     ,30.53,-98.45,0.04,0.1,1.05,0.36,0,,,,1.55,1.55,1
KINGSLAND                7 NW,30.68,-98.56,0,0.03,0.22,0.14,0,,,,0.39,0.39,1
KINGSLAND                7 S,30.56,-98.47,0,0.02,0.89,0.28,0,,,,1.19,1.19,1
Kingsland 0.5 S,30.657238,98.452138,0,0.02,0.46,0.12,0,0,0,0,0.6,0.6,1
Kingsland 1 ESE,30.66,-98.44,,,,,,,,,0.51,0,0
Kingsland 1 SSE,30.64,-98.43,,,,,,,,,0.67,0,0
Kingsland 1.2 SW,30.653557,98.469864,0,0.05,0.43,0.11,0,0,0,0,0.59,0.59,1
Kingsland 1.9 WSW,30.659221,98.485022,0,0.04,0.41,0.1,0,0,0,0,0.55,0.55,1
Kingsland 2.0 SW,30.64168,98.474064,0.01,0.04,0.52,0.16,0,0,0,0,0.73,0.73,1
Kingsland 2.1 ESE,30.65546,98.41937,,,0.8,,,,,,0.8,0.8,1
Kingsland 2.8 NE,30.690632,98.416366,,0.02,0.42,0.11,,,,,0.55,0.55,1
Kingsland 5 WSW,30.64,-98.51,,,,,,,,,0.75,0,0
KINGSVILLE                    ,27.55,-97.88,0.77,1.5,0.33,0.01,,0,,,2.61,2.61,1
KINGSVILLE                    ,27.52,-97.83,0.06,1.62,0.24,0.01,0,0,,,1.93,1.93,1
Kingsville 0.6 E,27.507757,97.851582,0.12,1.72,,,,,,,1.84,1.84,1
Kingsville 6.5 SSE,27.42138889,97.82361111,0.06,1.48,0.27,0,0,0,0,0,1.81,1.81,1
Kingwood 0.9 WNW,30.0650615692139,95.1997299194336,0.02,1.82,9.97,10.63,5.87,1.66,,,29.97,29.97,1
Kingwood 1.8 E,30.0553,95.1564,0,1,8.8,10.5,6.85,1.73,0,0,28.88,28.88,1
Kingwood 2 WNW,30.06,-95.22,,,,,,,,,37.64,0,0
Kingwood 3.9 S,30.00218,95.196038,0,0.94,9.99,13.44,6.23,1.59,0,0,32.19,32.19,1
Kirby 0.2 WNW,29.460681,98.388144,,0.35,1.97,,,,,,2.32,2.32,1
Kirbyville 1.5 SE,30.64054,93.88509,0.84,0.02,1.41,4.45,2.77,6.94,3.14,0,19.57,19.57,1
Knickerbocker 3.2 SW,31.2467,100.67229,0,0,0.16,0,0,0,0,0,0.16,0.16,1
KOMENSKY                      ,29.54,-97.04,,,0,,,,,,0,0,1
Kopperl 5.2 WNW,32.11133333,97.57533333,0.36,0,0.13,1.4,0,0,0,0,1.89,1.89,1
Kosse 4.0 E,31.31744,96.562315,0,0,1.73,1.63,0.01,0,0,0,3.37,3.37,1
KOUNTZE                  4 NE,30.4,-94.26,0.01,0.1,,,3.3,,,0,3.41,3.41,1
Kountze 0.0 WSW,30.37233543396,94.3158721923828,,,,6.45,4.01,12.5,4.09,,27.05,27.05,1
Kountze 1.1 S,30.35696449,94.3161043,0.04,0.13,6.65,8.22,4.98,11,3.58,0,34.6,34.6,1
Kyle 0.8 SW,29.98606,97.8802,0,0.07,6.03,3.32,0.42,0,0,0,9.84,9.84,1
Kyle 1.1 SSE,29.979912,97.861556,,2.18,5.85,,,,,,8.03,8.03,1
Kyle 2.1 NNW,30.020955,97.887701,0.05,1.28,6.67,1.73,0.01,0,0,0,9.74,9.74,1
Kyle 2.4 SE,29.96473056,97.84748889,0,0.68,6.3,2.35,0.03,0,0,0,9.36,9.36,1
Kyle 2.8 SSW,29.9599,97.8954,0,1.33,5.41,2.2,0,0,0,0,8.94,8.94,1
Kyle 7.8 ENE,30.024776,97.745107,0.24,1.43,6.6,2.56,,,,,10.83,10.83,1
La Feria,26.15,-97.82,,0.04,,,,,,,0.04,0.04,1
La Grange,33,-85,,,,,,,,,18.79,0,0
LA GRANGE                     ,29.91,-96.9,0,4.36,10.65,10.84,0.3,0,,,26.15,26.15,1
LA GRANGE                 5 NE,29.95,-96.82,0,5.34,9.96,10.32,0.19,0,,,25.81,25.81,1
La Grange 0.3 ENE,29.91038,96.873472,,4.12,10.78,9.66,,,,,24.56,24.56,1
La Grange 1 E,33,-84.98,,,,,,,,,18.34,0,0
La Grange 1 W,33,-85.02,,,,,,,,,25.88,0,0
La Grange 10.2 NW,30.008049,97.005228,0,4.2,14.69,10.2,0.1,0,0,0,29.19,29.19,1
La Grange 3.5 ENE,29.928821,96.824835,0,4.63,10.52,9.46,0.11,0,0,0,24.72,24.72,1
La Grange 3.5 SW,29.87867,96.924749,0.84,3.6,8.26,10.95,0.27,0,0,0,23.92,23.92,1
La Grange 4 NE,33.05,-84.95,,,,,,,,,25.72,0,0
La Grange 4.5 SW,29.86353,96.932442,0.05,3.82,8.2,9.5,0.23,0,0,0,21.8,21.8,1
La Grange 4.7 E,29.9006,96.8007,,4.92,9.45,10.91,0.09,,,,25.37,25.37,1
La Grange 7.8 NNE,30.019371,96.851402,0,4.75,12.42,8.41,0.2,0,0,0,25.78,25.78,1
La Grange 8.1 SE,29.8223746951633,96.7872751747662,0.04,4.33,7.29,6.15,0.19,0,0,0,18,18,1
LA JOYA                       ,26.25,-98.47,0.2,0,,0,0,,,,0.2,0.2,1
La Joya 11.1 N,26.408007,98.458892,0.04,,,,,,,,0.04,0.04,1
La Marque TX,29.3625,-95.0018,,,,,,,,,27.91,0,0
La Marque 1.8 E,29.363333,94.964371,3.1,3.86,17.57,1.89,9.44,2.58,0.01,0,38.45,38.45,1
La Marque 3.9 SE,29.333967,94.939934,1.6,3.93,9,1.01,7.69,1.34,0,0,24.57,24.57,1
LA PORTE                 1 S,29.65,-95.02,,,,,,1.68,,,1.68,1.68,1
La Porte 2 SE,29.65,-95.03,,,,,,,,,41.4,0,0
La Vernia 3.0 E,29.347053,98.064753,0,1.61,3.91,1.5,0,0,0,0,7.02,7.02,1
La Vernia 3.6 SSW,29.308983,98.144898,0,0.92,3.56,1.45,0,0,0,0,5.93,5.93,1
La Vernia 6.3 S,29.26277778,98.10666667,,1.01,2.24,0.92,,,,,4.17,4.17,1
Labelle Rd. @ Taylors Bayou,29.87472,-94.15944,0.63,3.5,6.46,9.84,17.68,1.65,0,,39.76,39.76,1
Labelle Road Pevito Bayou,29.96472,-94.16528,0.43,2.64,6.73,4.37,11.26,2.25,26.14,,53.82,53.82,1
Lackland Afb 3.5 SSE,29.3387,98.5987,0,0.76,0.34,0,0,0,0,0,1.1,1.1,1
Lackland Afb 7.8 WNW,29.433687,98.741747,0,0.23,0.25,0.14,0,0,0,0,0.62,0.62,1
Lago Vista 1 ENE,30.47,-97.97,,,,,,,,,4.5,0,0
Lago Vista 1.4 SSW,30.434235,98.009436,,0.78,2.16,0.72,,,,,3.66,3.66,1
Lago Vista 1.5 SW,30.435603,98.013873,0.06,0.6,3.75,,0,0,0,0,4.41,4.41,1
Lago Vista 2.1 SW,30.42739,98.018226,0.14,0.99,2.1,0.74,0,0,0,0,3.97,3.97,1
Lago Vista 4 NW,30.51,-98.04,,,,,,,,,3.47,0,0
Lago Vista 8 NNW,30.57,-98.03,,,,,,,,,3.27,0,0
Lago Vista 8 NNW,30.57,-98.03,,,,,,,,,2.99,0,0
Laguna Vista  ,26.1,97.29,,1.17,,,,,,,1.17,1.17,1
Laguna Vista 0.3 N,26.10475,97.29267,0.32,0.44,0.44,,,,,,1.2,1.20,1
Lake Anahuac CLCND,29.77364,-94.6871,1.34,5.31,10.91,13.15,7.63,0.28,0,,38.62,38.62,1
Lake Houston Dam Spillway,29.916112,-95.141641,0.76,5.32,14.08,5.96,4.2,0,0,,30.32,30.32,1
Lake Jackson 1.3 SE,29.026883,95.433747,,,,,0.65,,,,0.65,0.65,1
Lake Jackson 1.6 E,29.043001,95.420226,0.66,3.91,1.67,1.71,5.78,0.21,0,0,13.94,13.94,1
LAKE KEMP                     ,33.75,-99.14,,,,0,,,,,0,0,1
Lakehills 1.1 SE,29.593817,98.930153,0,0.03,0.24,0,0,0,0,0,0.27,0.27,1
Lakehills 1.2 NNE,29.621198,98.93643,,0.06,0.37,0,0,0,0,0,0.43,0.43,1
Lakehills 8.4 S,29.482932,98.929718,,0.06,,,,,,,0.06,0.06,1
Lakeway,30.37,-97.99,,,,,,,,,4.79,0,0
Lakeway 1 ENE,30.38,-97.97,,,,,,,,,2.66,0,0
Lakeway 1.6 SW,30.352207,97.999562,0.2,0.48,2.64,0.75,,,,,4.07,4.07,1
Lakeway 2.6 SW,30.344979,98.014988,0.13,0.95,2.09,0.68,0,0,0,,3.85,3.85,1
Lakeway 2.9 SSW,30.3291,98.001,0,1.3,2.66,0.75,0,0,0,0,4.71,4.71,1
Lakeway 3.1 ENE,30.381451,97.929518,0,1.11,4.53,0.89,0,0,0,0,6.53,6.53,1
Lakeway 3.5 ENE,30.376425,97.92222222,1.31,2.65,,0.73,,0,,0,4.69,4.69,1
LAMESA                   1 SSE,32.72,-101.95,,,0,0,,,,,0,0,1
LAMESA                   2 SE,32.71,-101.94,,,0,0,,,,,0,0,1
LAMPASAS                 9 SW,30.98,-98.33,0,0.09,0.38,0.23,0.01,,,,0.71,0.71,1
LAMPASAS                11 WNW,31.08,-98.37,0,0,0.26,0.21,0,,,,0.47,0.47,1
LAMPASAS                15 WNW,31.09,-98.43,0,0,0.13,0.06,0,,,,0.19,0.19,1
Lampasas 10 WSW,31.01,-98.31,,,,,,,,0,0.69,0,0
Lampasas 2.7 ENE,31.081452,98.14087,0,0,0.45,0.29,0,0,0,0,0.74,0.74,1
Landis Drive @ Ditch 202B,30.0675,-94.19889,1.1,2.01,9.17,8.31,21.33,4.65,0,,46.57,46.57,1
LANE CITY                     ,29.19,-96.07,0.33,8.16,5.21,1.16,5.29,0,0,,20.15,20.15,1
Langham Creek @ Longenbaugh Road,29.895138,-95.696832,0.68,9.2,16.68,4.52,1.56,0,0,,32.64,32.64,1
Langham Creek @ West Little York Road,29.867456,-95.647061,0.64,9.72,15.72,4.76,1.6,0,0,,32.44,32.44,1
LANGTRY                       ,29.79,-101.56,,,0,,,,,,0,0,1
Langtry 10.6 W,29.83067,101.7334,0,0,0,0.05,0,0,0,0,0.05,0.05,1
Langtry 25.3 NNW,30.15238,101.709,0,0,0,0,0,0,0,0,0,0,1
LAREDO                        ,27.5,-99.5,,0.08,,,,,,,0.08,0.08,1
LAREDO                        ,27.54,-99.46,0.03,0.05,0,0,,,,,0.08,0.08,1
Laredo 1.8 N,27.560331,-99.483452,,0,0,0,0,0,0,0,0,0,1
Laredo 2.5 N,27.5697364807129,-99.4928359985352,,0.37,,,,,,,0.37,0.37,1
Laredo 8.4 NNW,27.645379,-99.541884,,0.02,,,,,,,0.02,0.02,1
Lateral @ Sens Road,29.6832709,-95.046794,1.28,5.04,19.72,10.68,5.32,0,0,,42.04,42.04,1
Laurel And Eastex Freeway @ Ditch 116,30.08278,-94.1375,0.32,2,8.9,5.36,16.77,5.51,0,,38.86,38.86,1
LAVON                         ,33.03,-96.48,,,,0,0.06,0,0,,0.06,0.06,1
Lavon 0.7 NNW,33.0359,-96.440988,0,0.26,0.03,0.01,0.04,0,0,0,0.34,0.34,1
Lawhon Detention @ Ditch 400,30.00098,-94.2605,0.4,2.83,8.07,9.02,19.17,3.82,0,,43.31,43.31,1
Lawhon Road at Ditch 600,30.00028,-94.2994,0.39,3.47,8.42,7.72,17.91,3.94,0,,41.85,41.85,1
LBJ State Park,30.24,-98.63,,,,,,,,,1.45,0,0
LBJ State Park 1 N,30.26,-98.63,,,,,,,,,1.81,0,0
LBJ State Park 4 SSE,30.19,-98.62,,,,,,,,,2.28,0,0
LBJ State Park 6 N,30.34,-98.63,,,,,,,,,1.49,0,0
LC Ranch,31.286389,105.061667,,,,,,,0,,0,0,1
League City TX,29.5,-95.1,,,,,,,,,45.66,0,0
League City TX,29.5495,-95.0645,,,,,,,,,37.98,0,0
League City TX,29.538,-95.0505,,,,,,,,,32.94,0,0
League City 0.9 WNW,29.490395,95.120691,0.04,2.3,10.51,6.19,12.25,1.26,0,0,32.55,32.55,1
League City 1.7 NW,29.505659,95.124196,,5,,,,,,,5,5,1
League City 1.8 WNW,29.496012,95.134621,0.06,3.64,,,,,,,3.7,3.70,1
League City 2.1 NNE,29.511,95.0898,,,0,0,0,0,0,0,0,0,1
League City 2.7 NE,29.540703,95.069822,0.23,2.62,17.93,6.92,13.96,1.66,0.01,0,43.33,43.33,1
League City 3 S,29.43,-95.11,,,,,,,,,52.87,0,0
League City 3 W,29.48,-95.16,,,,,,,,,45.34,0,0
League City 3.5 W,29.477974,95.164823,0.63,4.57,,,,,,,5.2,5.20,1
League City 3.6 ENE,29.523101,95.0382,0.15,2.07,14.91,5.9,12.1,1.9,0,0,37.03,37.03,1
League City 4 S,29.42,-95.11,,,,,,,,,51.62,0,0
Leakey 14.0 NW,29.88211667,99.90806667,0.07,0.12,0.05,0.01,0,0,0,0,0.25,0.25,1
Leakey 9.9 N,29.866734,99.773301,0.29,0,0.03,0.1,0,0,0,0,0.42,0.42,1
Leander,30.58,-97.85,,,,,,,,,4.5,0,0
Leander,30.58,-97.85,,,,,,,,,3.48,0,0
Leander,30.58,-97.85,,,,,,,,,2.33,0,0
LEANDER                  5 SW,30.54,-97.93,0.3,0.31,2.86,1.16,0,0,,,4.63,4.63,1
Leander 1 NNW,30.6,-97.85,,,,,,,,,4.26,0,0
Leander 1.4 SSW,30.545611,97.873403,,0.75,2.65,0.87,,,,,4.27,4.27,1
Leander 1.9 WSW,30.556304,97.891877,0.5,,,0.75,0.4,0,0,0,1.65,1.65,1
Leander 3.3 SW,30.52998,97.900417,,0.53,3.1,0.88,0.02,,,,4.53,4.53,1
Leander 3.4 NNE,30.610203,97.844589,0.34,0.6,2.82,0.89,0,0,0,0,4.65,4.65,1
Leander 5 ENE,30.6,-97.91,,,,,,,,,5.2,0,0
Leesville 4.2 NE,29.465004,97.726317,0,2.46,6.75,2.64,0.07,0.01,0,0,11.93,11.93,1
Leon Creek @ I-35,29.33,-98.58,,,,,,,,,1.08,0,0
Leon Springs 2.6 N,29.70241111,98.63691667,0,0.17,1.39,0.46,0,0,0,0,2.02,2.02,1
Leon Valley,29.49,-98.61,,,,,,,,,1.65,0,0
Leon Valley 1.6 N,29.51867,98.617805,1.04,,,0.24,0,0,0,0,1.28,1.28,1
Leon Valley 1.9 WNW,29.504864,98.642795,0.2,0.3,0.77,0.28,0,0,0,0,1.55,1.55,1
Leon Valley 2 SW,29.47,-98.63,,,,,,,,,1.03,0,0
Leon Valley 2.7 WSW,29.485403,98.656125,0.38,0.33,0.69,0.25,0,0,0,0,1.65,1.65,1
Leon Valley 2.8 W,29.489401,98.659329,0.09,0.24,0.45,0.1,0,0,0,0,0.88,0.88,1
LEWISVILLE                    ,33.07,-97.01,,,,0.05,0,,,,0.05,0.05,1
Lexington 2.3 SSW,30.384,97.0256,0,1.66,7.56,2.92,0.05,0,0,0,12.19,12.19,1
Lexington 2.4 E,30.417036,96.969241,,1.68,5.85,2.94,0.04,0,0,,10.51,10.51,1
Lexington 2.7 SSE,30.3798599243164,96.9875793457031,0,1.41,8.02,3.24,0.09,0,0,0,12.76,12.76,1
Lexington 4.8 W,30.4044170379639,97.0890960693359,,1.02,6.61,2.91,0.15,,,,10.69,10.69,1
Lexington 8.8 SW,30.320213,97.107923,,1.72,10.29,2.85,0.05,,,,14.91,14.91,1
LIBERTY/Trinity River              ,30.06,-94.79,,,,17.9,23.85,,,,41.75,41.75,1
LIBERTY                  2 WSW,30.06,-94.82,,,,,,,,,49.39,0,0
Liberty 1 NW,30.05,-94.82,,,,,,,,,43.24,0,0
Liberty Hill 0.6 NNW,30.671343,97.928297,0.09,0.19,2.14,1,0,0,0,0,3.42,3.42,1
Liberty Hill 1.2 N,30.6825885772705,97.922981262207,0.04,0.39,1.37,0.67,0.02,0,0,0,2.49,2.49,1
Liberty Hill 4.2 NE,30.705644,97.869831,0.08,0.5,1.9,0.85,0.01,0,,0,3.34,3.34,1
Liberty Hill 4.3 ENE,30.690289,97.856375,0.19,0.55,2.35,1.02,0.01,0,0,0,4.12,4.12,1
Liberty Hill 5.2 SW,30.6152,97.9871,,0.66,1.79,0.85,,,,,3.3,3.30,1
Lincoln Park 0.8 ENE,33.228153,96.959736,0.03,0,0.07,0.01,0,0,,0,0.11,0.11,1
Lindale 2.1 E,32.504568,95.369473,,,,,,,0,0,0,0,1
LINDEN                        ,33.01,-94.36,,,0,0,0,0,0.18,0,0.18,0.18,1
Linn 8.4 WNW,26.6063701361418,98.2488106191158,0,0,0,0,0,0,0,0,0,0,1
LIPAN                         ,32.52,-98.05,,,,0.1,,,,,0.1,0.1,1
Little Cedar Bayou @ 8th Street,29.650057,-95.027295,1.36,6.44,19.36,10.76,4.72,0.04,0,,42.68,42.68,1
Little Cypress Creek @ Becker Road,30.027473,-95.799237,0.44,12.2,13.24,3.12,0.84,0,0,,29.84,29.84,1
Little Cypress Creek @ Cypress Rosehill Road,30.01593,-95.697286,0.4,10.76,13,3.72,1.36,0,0,,29.24,29.24,1
Little Cypress Creek @ Kluge Road,29.977553,-95.630248,0.36,6.64,15.36,4.56,1.76,0,0,,28.68,28.68,1
Little Elm 2.2 ENE,33.17734,96.895838,0.05,0.01,0.1,,,,,,0.16,0.16,1
Little Elm 2.5 NE,33.1872168928385,96.8961719423532,0.03,0.02,0.05,0,0,0,0,0,0.1,0.1,1
Little Mound Creek @ Mathis Road,30.005339,-95.907953,0.48,8.24,16.76,3.16,0.36,0,0,,29,29,1
Little Pine Island Bayou @ State Highway 787,30.34861,-94.58806,0.16,3.11,11.57,3.47,8.62,2.95,0,,29.88,29.88,1
Little Vince Bayou @ Jackson Avenue,29.705491,-95.200141,0.92,12.12,15.88,8.92,4.92,0,0,,42.76,42.76,1
Little White Oak Bayou @ Tidwell Road,29.845139,-95.399729,0.72,8.16,16.96,7.16,2.44,0,0,,35.44,35.44,1
Little White Oak Bayou @ Trimble Street,29.7922,-95.368333333,0.8,7.48,15.72,7.36,2.64,0,0,,34,34,1
Live Oak 0.5 SW,29.5498275756836,98.3455047607422,,0.35,3,,,,,,3.35,3.35,1
Live Oak 0.8 SSW,29.5443019866943,98.3452072143555,0,0.33,2.7,0.56,0,0,0,,3.59,3.59,1
Live Oak 1.8 W,29.550382,98.369699,0,0.42,2.21,0.4,0.01,0,0,0,3.04,3.04,1
Live Oak 3.4 NW,29.591681,98.375199,0,0.32,,,,,,,0.32,0.32,1
Live Oak 4.6 WNW,29.589565,98.40517,,,,3.31,,,,,3.31,3.31,1
Live Oak Creek @ Penick Road,29.948015,-95.924128,0.6,6.2,16.6,2.84,0.36,0,0,,26.6,26.6,1
Livingston 10.0 W,30.728589,95.102491,0,0.05,7.6,9.3,2.18,1.02,,,20.15,20.15,1
Livingston 13.4 NW,30.860255,95.078262,0.01,0,6.05,7.3,2.98,1.09,1.05,0,18.48,18.48,1
Livingston 8.4 W,30.698418,95.076545,0,0.17,7.96,9.29,2.56,1.39,0.83,0,22.2,22.2,1
LLANO                         ,30.64,-98.45,0,0.01,0.53,0.13,0,,,,0.67,0.67,1
LLANO                         ,30.76,-98.82,0,0.03,0.05,0.21,0,,,,0.29,0.29,1
LLANO                         ,30.77,-98.76,0.01,0.06,0.1,0.18,0,,,,0.35,0.35,1
LLANO                         ,30.75,-98.67,0,0,0.14,0.07,0,,,,0.21,0.21,1
LLANO                         ,30.81,-98.58,0,0.01,0.11,0.06,0,,,,0.18,0.18,1
LLANO                    5 SSW,30.69,-98.69,0,0,0.23,0.26,0,,,,0.49,0.49,1
LLANO                    6 SSE,30.67,-98.64,0,0.1,0.37,0.47,0,,,,0.94,0.94,1
LLANO                    7 NNE,30.86,-98.66,0,0.02,0.12,0.12,0,,,,0.26,0.26,1
LLANO                    9 NW,30.86,-98.78,0,0,0.12,0.17,0,,,,0.29,0.29,1
LLANO                   11 SE,30.6,-98.62,0,0.51,0.81,0.2,0,,,,1.52,1.52,1
LLANO                   13 SSW,30.59,-98.77,0,0.04,0.5,0.47,0.01,,,,1.02,1.02,1
LLANO                   19 SW,30.56,-98.88,0,0.25,0.24,0.21,0,,,,0.7,0.7,1
LLANO                   19 WNW,30.9,-98.95,0.04,0.01,0.23,0.4,0.03,,,,0.71,0.71,1
Llano 0.4 ESE,30.74771,98.667093,0.02,0,0.21,0.09,0,0,0,0,0.32,0.32,1
Llano 4 S,30.69,-98.68,,,,,,,,,0.48,0,0
Llano 5 SSE,30.69,-98.66,,,,,,,,,0.94,0,0
Llano 5 W,30.76,-98.76,,,,,,,,,0.34,0,0
Llano 6 ENE,30.79,-98.6,,,,,,,,,0.18,0,0
Llano 7.2 W,30.7659345120192,98.7944906204939,0.01,0.07,0.15,0.23,0,0,0,0,0.46,0.46,1
Llano 8 W,30.76,-98.8,,,,,,,,,0.23,0,0
Llano 8.4 SSW,30.645639,98.744947,,0.3,,0.5,,,,,0.8,0.8,1
Llano 9 WSW,30.68,-98.8,,,,,,,,,0.24,0,0
Llano 9.2 NNW,30.868615,98.746033,,0.03,0.1,0.2,,,,,0.33,0.33,1
Llano 9.9 SE,30.638162,98.572554,,,,0.18,0,0,0,0,0.18,0.18,1
LOCKHART                 6 NE,29.94,-97.59,0.57,2.19,11.03,2.57,0.12,0,,,16.48,16.48,1
Lockhart 0.7 SSE,29.8655185699463,97.6710205078125,,,,,0.3,,,,0.3,0.3,1
Lockhart 4.3 ENE,29.904818,97.614774,0.04,1.96,9.35,2.48,0.12,0,0,0,13.95,13.95,1
Lockhart 4.3 NW,29.922157,97.723071,,2.02,8,2.3,0.02,,,,12.34,12.34,1
Lockhart 4.8 S,29.8046971857548,97.6745785027742,0.13,1.81,9.05,2.35,,,,,13.34,13.34,1
Lockhart 4.8 SSE,29.813403,97.638693,0.49,,,,,,,,0.49,0.49,1
Lockhart 5.2 S,29.7985354810953,97.6757372170687,0.23,1.75,8.81,2.45,0.02,,,,13.26,13.26,1
Lockhart 5.2 SSE,29.8,97.66,0.15,1.86,8.96,2.33,,,,,13.3,13.30,1
Lockhart 6 NE,29.94,-97.61,,,,,,,,,15.8,0,0
Lockhart 6.4 SSE,29.7860695,97.6470443,0.5,1.5,7.5,2.5,,,,,12,12.0,1
Lockhart 8.4 ESE,29.827061444521,97.5476476550102,0.2,1.96,9.76,2.99,0.02,0,0,0,14.93,14.93,1
Loma Alta 8 WSW,29.31,-95.19,,,,,,,,,0.02,0,0
LOMETA                   2 WNW,31.23,-98.42,0,0,0.14,0.55,0,,,,0.69,0.69,1
LOMETA                   6 SW,31.16,-98.47,0,0,0.14,0.39,0,,,,0.53,0.53,1
Lone Star 1.4 N,32.9577,94.71217,0,0,0,0,0,0,0.03,0,0.03,0.03,1
LONGVIEW                      ,32.38,-94.71,,,0.09,0.01,0,0.07,0.56,,0.73,0.73,1
LONGVIEW                      ,32.52,-94.72,,,0.02,0.21,0,0.03,0.34,,0.6,0.6,1
LONGVIEW                      ,32.46,-94.73,,,0.3,0.24,,0.07,,,0.61,0.61,1
LONGVIEW                19 NW,32.7,-94.94,,,0.01,0.02,0,0,0.03,,0.06,0.06,1
Longview 0.9 E,32.519907,94.746484,0,0.02,0.05,0.13,0,0.02,0.38,,0.6,0.6,1
Longview 1.2 WNW,32.521667,94.781639,,,,,,,0.35,,0.35,0.35,1
Longview 2.7 NW,32.549723,94.787991,0,,,,,,,0,0,0,1
Longview 3.4 NE,32.557766,94.727399,0,0,0,0,0,0,0,0,0,0,1
Lorena 5.2 NW,31.43833333,97.27255,0.51,0.03,0.87,0.33,0,0,0,0,1.74,1.74,1
Lorena 5.5 NW,31.447103,97.267839,1.08,0.02,0.86,0.42,0,,0,,2.38,2.38,1
Lorena 8.0 E,31.398687,97.079027,0.47,0.04,1.04,0.51,0,0,0,0,2.06,2.06,1
Los Fresnos,26.07,-97.48,,0.26,,,,,,,0.26,0.26,1
Los Fresnos 0.3 NE,26.077132,97.47585,0.32,0.05,0.54,0,0,0,0,0,0.91,0.91,1
Los Fresnos 2.1 NNE,26.0994,97.4628,0.39,0.05,0.61,0,0,0,0,0,1.05,1.05,1
